광역시도명,시군구명,날짜,시간대별 시간,강수 유형명,습도값,강수량 값,기온값,풍속값,바람강도 유형명,동쪽서쪽바람유형명,풍향값,풍향카테고리명,한식,분식,카페/디저트,돈까스/일식,회,치킨,피자,아시안/양식,중식,족발/보쌈,야식,찜탕,도시락,패스트푸드
서울특별시,구로구,2020-01-01,12,없음,75,0,1.1,1,약,east,217,SW,15,16,14,5,0,12,13,3,1,3,4,2,0,13
서울특별시,구로구,2020-01-01,13,없음,76,0,1.2,1,약,east,60,ENE,23,23,21,6,0,27,16,0,5,7,1,5,0,27
서울특별시,구로구,2020-01-01,14,없음,77,0,0.9,1.7,약,east,75,ENE,26,23,14,5,1,27,18,1,3,5,2,2,0,29
서울특별시,구로구,2020-01-01,15,없음,73,0,0.8,0.8,약,east,38,NE,14,22,20,7,3,35,16,4,0,9,5,3,0,23
서울특별시,구로구,2020-01-01,16,없음,71,0,0.7,1.3,약,east,56,NE,22,27,13,5,5,63,17,0,2,16,8,7,0,23
서울특별시,구로구,2020-01-01,17,없음,72,0,0.8,1.6,약,east,69,ENE,25,27,20,9,4,97,24,3,7,30,14,12,0,25
서울특별시,구로구,2020-01-01,18,없음,72,0,0.8,0.9,약,east,51,NE,50,39,19,9,3,97,33,8,8,36,12,9,0,29
서울특별시,구로구,2020-01-01,19,없음,72,0,0.9,0.9,약,east,115,ESE,34,31,17,11,3,90,22,4,4,21,6,13,0,22
서울특별시,구로구,2020-01-01,20,없음,73,0,1,1.1,약,east,80,E,27,28,17,11,2,75,18,5,6,17,6,2,0,28
서울특별시,구로구,2020-01-01,21,없음,71,0,1.1,0.8,약,east,66,ENE,12,13,7,9,4,65,14,5,4,10,3,4,0,19
서울특별시,구로구,2020-01-01,22,없음,70,0,1.3,0.9,약,east,210,SSW,11,2,3,0,3,59,10,5,6,6,4,1,0,8
서울특별시,구로구,2020-01-01,23,없음,69,0,1.7,0.4,약,east,68,ENE,10,1,0,0,0,31,5,0,0,5,3,0,0,9
서울특별시,금천구,2020-01-01,0,없음,98,0,-4.5,0.7,약,east,316,NW,1,2,0,0,0,18,1,0,0,4,18,1,0,0
서울특별시,금천구,2020-01-01,1,없음,98,0,-2.7,0.6,약,east,330,NNW,0,0,1,0,0,15,0,0,0,4,1,1,0,0
서울특별시,금천구,2020-01-01,10,없음,98,0,-1,1.1,약,east,210,SSW,2,3,1,0,0,0,0,0,0,0,0,0,0,0
서울특별시,금천구,2020-01-01,11,없음,98,0,-1,0.8,약,east,200,SSW,6,12,3,0,0,4,0,2,5,0,0,2,0,4
서울특별시,금천구,2020-01-01,12,없음,98,0,-1.1,1.2,약,east,204,SSW,7,12,1,0,0,3,1,3,9,1,1,1,0,7
서울특별시,금천구,2020-01-01,13,없음,98,0,-1,0.4,약,east,192,SSW,5,15,8,1,0,2,3,7,7,1,2,1,0,9
서울특별시,금천구,2020-01-01,14,없음,98,0,-0.9,0,약,none,0,N,5,7,9,1,0,4,4,8,3,0,3,2,0,11
서울특별시,금천구,2020-01-01,15,없음,98,0,-1.1,0.7,약,east,197,SSW,5,20,6,5,0,11,3,8,1,4,0,0,0,8
서울특별시,금천구,2020-01-01,16,없음,98,0,-0.9,0.4,약,east,217,SW,6,10,6,1,0,6,0,4,8,9,4,2,0,6
서울특별시,금천구,2020-01-01,17,없음,98,0,-1,0.2,약,east,203,SSW,8,18,4,1,0,7,2,5,7,12,12,1,0,8
서울특별시,금천구,2020-01-01,18,없음,98,0,-0.7,0,약,none,17,NNE,10,34,7,0,0,10,5,6,9,14,8,2,0,13
서울특별시,금천구,2020-01-01,19,없음,98,0,-0.9,0.4,약,east,179,S,9,19,1,0,0,27,0,6,9,17,3,4,0,9
서울특별시,금천구,2020-01-01,20,없음,98,0,-1.1,1.2,약,east,203,SSW,2,16,1,0,0,16,6,4,4,9,2,1,0,4
서울특별시,금천구,2020-01-01,21,없음,98,0,-1.2,0.7,약,east,193,SSW,5,22,2,0,0,10,3,4,0,4,10,1,0,0
서울특별시,금천구,2020-01-01,22,없음,98,0,-0.6,0.1,약,east,192,SSW,2,14,0,1,0,11,1,4,0,7,5,0,0,3
서울특별시,금천구,2020-01-01,23,없음,98,0,0.1,0,약,none,0,N,0,1,3,0,0,7,1,0,0,5,2,0,0,0
서울특별시,동작구,2020-01-01,0,없음,80,0,-4.3,1.2,약,east,72,ENE,0,0,0,0,1,4,0,0,0,0,0,0,0,0
서울특별시,동작구,2020-01-01,1,없음,82,0,-3.2,0.8,약,east,42,NE,0,0,0,0,0,3,0,0,0,1,0,0,0,0
서울특별시,동작구,2020-01-01,2,없음,78,0,-2.1,1.3,약,east,72,ENE,0,0,0,0,0,4,0,0,0,0,0,0,0,0
서울특별시,동작구,2020-01-01,9,없음,70,0,-0.2,0.8,약,east,208,SSW,1,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,동작구,2020-01-01,10,없음,72,0,-0.1,0.8,약,east,239,WSW,0,0,1,0,0,0,0,0,0,0,0,0,0,0
서울특별시,동작구,2020-01-01,11,없음,73,0,-0.3,0.1,약,east,156,SSE,0,2,3,0,0,2,1,1,0,1,0,0,0,0
