주차장명,주차면수,운영시간,당일최고요금,주차요금,주 소,전화번호,비고,위치,lng,lat
송천2동 용소초교,17면,24시간,무료,무료,전주시 덕진구 송천3길 30-34,,무료주차장,송천2동,127.118,35.86135312
송천2동 공원,13면,24시간,무료,무료,전주시 덕진구 두간5길 9,,무료주차장,송천2동,127.1181066,35.86451811
하가지구 하가홈마트 뒤,28면,24시간,무료,무료,전주시 덕진구 가리내8길 19,,무료주차장,덕진동,127.109715,35.84330331
하가지구 초담불고기 뒤,29면,24시간,무료,무료,전주시 덕진구 가리내5길 19,,무료주차장,덕진동,127.109641,35.8456553
하가지구 풍경안경원 옆,28면,24시간,무료,무료,전주시 덕진구 가리내10길 12-1,,무료주차장,덕진동,127.1105619,35.84222412
하가지구 나그네교회 앞,29면,24시간,무료,무료,전주시 덕진구 가리내1길 14,,무료주차장,덕진동,127.110297,35.8478718
인후공원,64면,24시간,무료,무료,전주시 덕진구 안덕원3길 10,,무료주차장,우아1동,127.1639173,35.84381875
서신동 에덴교회,28면,24시간,무료,무료,전주시 완산구 고사평 1길 3,,무료주차장,서신동,127.1090494,35.83451945
한옥마을 치명자산성지 옆,"1,000면",24시간,무료,무료,전주시 완산구 바람쐬는길 133,,무료주차장,동서학동,127.1685365,35.80352032
송천2동 시영아파트 앞,170면,24시간,무료,무료,전주시 덕진구 와룡로 97-14,,무료주차장,송천2동,127.1131373,35.8682529
남노송동 병무청,27면,24시간,무료,무료,전주시 완산구 관선3길 8-4,,무료주차장,노송동,127.1535987,35.82044665
인후2동 용수마을,11면,24시간,무료,무료,전주시 덕진구 거북바우로 124-15 ,,무료주차장,인후2동,127.1495869,35.84159592
월드컵경기장,"4,181면",24시간,무료,무료,전주시 덕진구 기린대로 1055,,무료주차장,조촌동,127.0644996,35.86808643
화산체육관,343면,24시간,무료,무료,전주시 완산구 백제로310,,무료주차장,중화산2동,127.12458,35.8209376
완산수영장,210면,24시간,무료,무료,전주시 완산구 쑥고개로366-7,,무료주차장,효자4동,127.1061952,35.80265607
덕진공원,70면,24시간,무료,무료,전주시 덕진구 권삼득로 390,,무료주차장,덕진동,127.1243004,35.84998565
